Date,JPM_Close,JPM_Volume,VIX_Close,Treasury_3M
2018-01-02,85.90127563476562,13578800,9.770000457763672,1.42
2018-01-03,85.98881530761719,11901000,9.149999618530272,1.39
2018-01-04,87.22066497802734,12953700,9.220000267028809,1.39
2018-01-05,86.66070556640625,14155000,9.220000267028809,1.37
2018-01-08,86.7887191772461,12466500,9.520000457763672,1.43
2018-01-09,87.22867584228516,13292300,10.079999923706056,1.42
2018-01-10,88.1884994506836,15834500,9.81999969482422,1.4
2018-01-11,88.66046905517578,13676800,9.880000114440918,1.41
2018-01-12,90.12425231933594,18884200,10.15999984741211,1.41
2018-01-16,89.80430603027344,22703300,11.65999984741211,1.43
2018-01-17,90.38025665283205,14940300,11.90999984741211,1.42
2018-01-18,90.59622955322266,14572900,12.220000267028809,1.43
2018-01-19,90.396240234375,18785500,11.270000457763672,1.42
2018-01-22,91.45207977294922,12475700,11.029999732971191,1.43
2018-01-23,91.35609436035156,12320800,11.100000381469728,1.42
2018-01-24,92.5239715576172,15904500,11.470000267028809,1.41
2018-01-25,92.5479507446289,13510000,11.579999923706056,1.4
2018-01-26,93.04389190673828,13883900,11.079999923706056,1.39
2018-01-29,92.94788360595705,11679900,13.84000015258789,1.43
2018-01-30,92.07601165771484,14279100,14.789999961853027,1.42
2018-01-31,92.5239715576172,13141400,13.539999961853027,1.44
2018-02-01,93.48384857177734,13800600,13.470000267028809,1.46
2018-02-02,91.4121322631836,16477300,17.309999465942383,1.46
2018-02-05,87.02865600585938,30097600,37.31999969482422,1.49
2018-02-06,89.67633056640625,33114800,29.979999542236328,1.5
2018-02-07,90.28425598144533,21878300,27.729999542236328,1.53
2018-02-08,86.29277038574219,27425800,33.459999084472656,1.53
2018-02-09,88.02055358886719,28188000,29.059999465942383,1.53
2018-02-12,89.38035583496094,18043300,25.61000061035156,1.61
2018-02-13,89.93229675292969,16358200,24.96999931335449,1.57
2018-02-14,92.01203155517578,15186900,19.26000022888184,1.56
2018-02-15,92.3959732055664,12130200,19.1299991607666,1.56
2018-02-16,91.73206329345705,13214300,19.459999084472656,1.59
2018-02-20,91.7560577392578,13461500,20.600000381469727,1.64
2018-02-21,92.13999938964844,14212500,20.020000457763672,1.62
2018-02-22,91.97200775146484,17070400,18.71999931335449,1.61
2018-02-23,93.83576965332033,12162500,16.489999771118164,1.61
2018-02-26,95.0036163330078,16511200,15.800000190734863,1.65
2018-02-27,93.8757781982422,17563300,18.59000015258789,1.64
2018-02-28,92.3879623413086,17735600,19.850000381469727,1.63
2018-03-01,90.73219299316406,18690000,22.46999931335449,1.6
2018-03-02,90.6441879272461,18353700,19.59000015258789,1.62
2018-03-05,92.03602600097656,13933000,18.729999542236328,1.67
2018-03-06,92.11602020263672,10674400,18.36000061035156,1.65
2018-03-07,91.77205657958984,13006500,17.760000228881836,1.65
2018-03-08,91.7800521850586,11173700,16.540000915527344,1.64
2018-03-09,94.41971588134766,15366600,14.640000343322754,1.64
2018-03-12,94.11575317382812,12339300,15.779999732971191,1.68
2018-03-13,92.9878921508789,13312300,16.350000381469727,1.7
2018-03-14,91.9480209350586,12905100,17.229999542236328,1.73
2018-03-15,92.17999267578124,8748000,16.59000015258789,1.74
2018-03-16,92.33997344970705,19888900,15.800000190734863,1.75
2018-03-19,91.61207580566406,13214900,19.020000457763672,1.77
2018-03-20,91.70006561279295,9921200,18.200000762939453,1.78
2018-03-21,91.7800521850586,13633000,17.860000610351562,1.71
2018-03-22,87.94857025146484,22550400,23.34000015258789,1.69
2018-03-23,85.59687042236328,23081500,24.8700008392334,1.71
2018-03-26,88.23650360107422,20217500,21.030000686645508,1.76
2018-03-27,86.52472686767578,18039900,22.5,1.74
2018-03-28,86.38874816894531,19189300,22.8700008392334,1.7
2018-03-29,87.96455383300781,13274600,19.96999931335449,1.7
