Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,85.64663568325813,85.95697793443617,84.99412042807667,85.90127563476562,13578800,0.0,0.0
2018-01-03 00:00:00-05:00,85.82966760233282,86.3309883379648,85.52728453385421,85.98881530761719,11901000,0.0,0.0
2018-01-04 00:00:00-05:00,86.67673542644341,88.01256034926544,86.54874913067192,87.22066497802734,12953700,0.56,0.0
2018-01-05 00:00:00-05:00,87.39661431944569,87.62858482714373,86.21276588407652,86.66070556640625,14155000,0.0,0.0
2018-01-08 00:00:00-05:00,86.50875678754139,86.932700706626,86.14879991273044,86.7887191772461,12466500,0.0,0.0
2018-01-09 00:00:00-05:00,86.9647086534464,87.69261096187434,86.78072985745246,87.22867584228516,13292300,0.0,0.0
2018-01-10 00:00:00-05:00,87.56458179154929,88.54845006857806,87.50058867196634,88.1884994506836,15834500,0.0,0.0
2018-01-11 00:00:00-05:00,88.5244882008345,88.73246286805902,88.02855659024338,88.66046905517578,13676800,0.0,0.0
2018-01-12 00:00:00-05:00,89.30836134286896,90.26823379785601,88.66044163816848,90.12425231933594,18884200,0.0,0.0
2018-01-16 00:00:00-05:00,89.19638956715812,90.73218816248281,88.84443343387578,89.80430603027344,22703300,0.0,0.0
2018-01-17 00:00:00-05:00,89.50037218262737,90.62822858825831,89.03643099012432,90.38025665283203,14940300,0.0,0.0
2018-01-18 00:00:00-05:00,90.19628152283038,90.96418100885684,89.80432805908563,90.59622955322266,14572900,0.0,0.0
2018-01-19 00:00:00-05:00,91.14014368907425,91.46009717704338,90.22826282237473,90.396240234375,18785500,0.0,0.0
2018-01-22 00:00:00-05:00,90.11625537584348,91.50007156361502,89.98826913044122,91.45207977294922,12475700,0.0,0.0
2018-01-23 00:00:00-05:00,90.924149916003,91.70004978255206,90.66818351595056,91.35609436035156,12320800,0.0,0.0
2018-01-24 00:00:00-05:00,91.8760577315652,92.78793870997998,91.71608096798177,92.52397155761719,15904500,0.0,0.0
2018-01-25 00:00:00-05:00,92.8199185168611,92.92390278413507,92.05201920546864,92.5479507446289,13510000,0.0,0.0
2018-01-26 00:00:00-05:00,92.54795424609344,93.04389190673828,91.95603298209387,93.04389190673828,13883900,0.0,0.0
2018-01-29 00:00:00-05:00,92.8039021270077,93.86776493798216,92.8039021270077,92.94788360595703,11679900,0.0,0.0
2018-01-30 00:00:00-05:00,92.41196644960935,93.26785476384785,91.97202739433446,92.07601165771484,14279100,0.0,0.0
2018-01-31 00:00:00-05:00,92.50797632234779,93.31587301470556,92.11602897966272,92.52397155761719,13141400,0.0,0.0
2018-02-01 00:00:00-05:00,92.60395808155407,93.57983218691281,92.37199360982854,93.48384857177734,13800600,0.0,0.0
2018-02-02 00:00:00-05:00,93.17990204590367,93.52385763909413,91.26015003978772,91.4121322631836,16477300,0.0,0.0
2018-02-05 00:00:00-05:00,90.3882155589997,91.66004681322339,83.17315891373474,87.02865600585938,30097600,0.0,0.0
2018-02-06 00:00:00-05:00,85.46887638943203,89.97229424879254,85.27690308063302,89.67633056640625,33114800,0.0,0.0
2018-02-07 00:00:00-05:00,89.22839359602025,91.54808691509172,88.90843400288988,90.28425598144531,21878300,0.0,0.0
2018-02-08 00:00:00-05:00,90.4762287680813,90.4762287680813,86.26077381634377,86.29277038574219,27425800,0.0,0.0
2018-02-09 00:00:00-05:00,87.26864942148191,88.8284502302457,84.97295188503684,88.02055358886719,28188000,0.0,0.0
2018-02-12 00:00:00-05:00,88.92441546872502,90.17225707846598,88.04453130088456,89.38035583496094,18043300,0.0,0.0
2018-02-13 00:00:00-05:00,89.04441181105376,90.42823441051128,88.62846862606898,89.93229675292969,16358200,0.0,0.0
2018-02-14 00:00:00-05:00,90.09228002535673,92.20400487734113,90.01229164968133,92.01203155517578,15186900,0.0,0.0
2018-02-15 00:00:00-05:00,92.57994583725272,92.7799198037855,91.36410680593073,92.3959732055664,12130200,0.0,0.0
2018-02-16 00:00:00-05:00,91.62807902203411,92.84391812123681,91.58808178540605,91.73206329345703,13214300,0.0,0.0
2018-02-20 00:00:00-05:00,91.70806593824237,92.29998719407783,91.16413648342235,91.75605773925781,13461500,0.0,0.0
2018-02-21 00:00:00-05:00,91.98801723439057,93.94775950829585,91.72405015506502,92.13999938964844,14212500,0.0,0.0
2018-02-22 00:00:00-05:00,92.38795081887262,93.1318540436009,91.79602972585089,91.97200775146484,17070400,0.0,0.0
2018-02-23 00:00:00-05:00,92.23597813331024,93.89976277877359,92.23597813331024,93.83576965332031,12162500,0.0,0.0
2018-02-26 00:00:00-05:00,94.49968420329293,95.10760668711428,93.84376992694264,95.00361633300781,16511200,0.0,0.0
